DATE_TIME;DRBS;NEWK
2021-03-12 01:19:00;115.850;   null
2021-03-12 01:20:00;114.383;   null
2021-03-12 01:21:00;112.783;   null
2021-03-12 01:22:00;113.683;   null
2021-03-12 01:23:00;114.733;   null
2021-03-12 01:24:00;112.033;   null
2021-03-12 01:25:00;116.150;   null
2021-03-12 01:26:00;115.400;   null
2021-03-12 01:27:00;114.600;   null
2021-03-12 01:28:00;116.367;   null
2021-03-12 01:29:00;111.483;   null
2021-03-12 01:30:00;112.317;   null
2021-03-12 01:31:00;115.350;   null
2021-03-12 01:32:00;117.733;   null
2021-03-12 01:33:00;114.933;   null
2021-03-12 01:34:00;119.700;   null
2021-03-12 01:35:00;118.033;   null
2021-03-12 01:36:00;116.600;   null
2021-03-12 01:37:00;115.083;   null
2021-03-12 01:38:00;114.883;   null
2021-03-12 01:39:00;115.067;   null
2021-03-12 01:40:00;112.217;   null
2021-03-12 01:41:00;114.367;   null
2021-03-12 01:42:00;112.983;   null
2021-03-12 01:43:00;115.400;   null
2021-03-12 01:44:00;110.200;   null
2021-03-12 01:45:00;115.417;   null
2021-03-12 01:46:00;115.017;   null
2021-03-12 01:47:00;114.117;   null
2021-03-12 01:48:00;114.633;   null
2021-03-12 01:49:00;116.617;   null
2021-03-12 01:50:00;116.267;   null
2021-03-12 01:51:00;113.483;   null
2021-03-12 01:52:00;112.983;   null
2021-03-12 01:53:00;114.700;   null
2021-03-12 01:54:00;116.833;   null
2021-03-12 01:55:00;111.917;   null
2021-03-12 01:56:00;113.567;   null
2021-03-12 01:57:00;117.400;   null
2021-03-12 01:58:00;113.300;   null
2021-03-12 01:59:00;113.617;   null
2021-03-12 02:00:00;113.133;   null
2021-03-12 02:01:00;114.917;   null
2021-03-12 02:02:00;115.100;   null
2021-03-12 02:03:00;115.617;   null
2021-03-12 02:04:00;117.783;   null
2021-03-12 02:05:00;116.417;   null
2021-03-12 02:06:00;115.433;   null
2021-03-12 02:07:00;112.900;   null
2021-03-12 02:08:00;109.250;   null
2021-03-12 02:09:00;117.883;   null
2021-03-12 02:10:00;113.450;   null
2021-03-12 02:11:00;115.433;   null
2021-03-12 02:12:00;116.650;   null
2021-03-12 02:13:00;118.067;   null
2021-03-12 02:14:00;118.667;   null
